Indicator,Country,ADM1_CODE,Province,Land_Type,Date,Data,Year,Month,Dekad,Unit,Source
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-08-01,63.38, 1989,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-08-11,30.986, 1989,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-08-21,21.127, 1989,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-09-01,25.352, 1989,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-09-11,28.169, 1989,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-09-21,33.803, 1989,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-10-01,44.444, 1989,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-10-11,66.667, 1989,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-10-21,50.0, 1989,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-11-01,0.0, 1989,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-07-11,21.739, 1990,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-07-21,71.642, 1990,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-08-01,81.69, 1990,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-08-11,87.324, 1990,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-08-21,92.958, 1990,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-09-01,92.958, 1990,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-09-11,92.958, 1990,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-09-21,91.549, 1990,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-10-01,86.667, 1990,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-10-11,100.0, 1990,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-10-21,100.0, 1990,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1990-11-01,100.0, 1990,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-07-11,73.913, 1991,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-07-21,67.164, 1991,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-08-01,77.465, 1991,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-08-11,74.648, 1991,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-08-21,81.69, 1991,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-09-01,88.732, 1991,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-09-11,90.141, 1991,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-09-21,90.141, 1991,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-10-01,84.444, 1991,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-10-11,91.667, 1991,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-10-21,100.0, 1991,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1991-11-01,0.0, 1991,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-07-11,8.696, 1992,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-07-21,7.463, 1992,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-08-01,15.493, 1992,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-08-11,8.451, 1992,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-08-21,4.225, 1992,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-09-01,4.225, 1992,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-09-11,5.634, 1992,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-09-21,1.408, 1992,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-10-01,0.0, 1992,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-10-11,0.0, 1992,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-10-21,0.0, 1992,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1992-11-01,0.0, 1992,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-07-11,43.478, 1993,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-07-21,29.851, 1993,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-08-01,39.437, 1993,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-08-11,29.577, 1993,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-08-21,21.127, 1993,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-09-01,4.225, 1993,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-09-11,0.0, 1993,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-09-21,0.0, 1993,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-10-01,0.0, 1993,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-10-11,0.0, 1993,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-10-21,0.0, 1993,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1993-11-01,0.0, 1993,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-07-11,0.0, 1994,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-07-21,0.0, 1994,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-08-01,0.0, 1994,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-08-11,0.0, 1994,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-08-21,0.0, 1994,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-09-01,0.0, 1994,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-09-11,0.0, 1994,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-09-21,0.0, 1994,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-10-01,0.0, 1994,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-10-11,0.0, 1994,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-10-21,0.0, 1994,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1994-11-01,0.0, 1994,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-07-11,34.783, 1995,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-07-21,71.642, 1995,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-08-01,87.324, 1995,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-08-11,90.141, 1995,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-08-21,94.366, 1995,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-09-01,100.0, 1995,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-09-11,100.0, 1995,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-09-21,98.592, 1995,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-10-01,97.778, 1995,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-10-11,100.0, 1995,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-10-21,100.0, 1995,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1995-11-01,100.0, 1995,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-07-11,34.783, 1996,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-07-21,55.224, 1996,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-08-01,56.338, 1996,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-08-11,63.38, 1996,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-08-21,77.465, 1996,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-09-01,91.549, 1996,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-09-11,90.141, 1996,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-09-21,85.915, 1996,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-10-01,75.556, 1996,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-10-11,75.0, 1996,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-10-21,50.0, 1996,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1996-11-01,0.0, 1996,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-07-11,4.348, 1997,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-07-21,14.925, 1997,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-08-01,7.042, 1997,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-08-11,4.225, 1997,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-08-21,14.085, 1997,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-09-01,14.085, 1997,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-09-11,14.085, 1997,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-09-21,14.085, 1997,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-10-01,4.444, 1997,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-10-11,0.0, 1997,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-10-21,0.0, 1997,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1997-11-01,0.0, 1997,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-07-11,0.0, 1998,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-07-21,0.0, 1998,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-08-01,0.0, 1998,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-08-11,0.0, 1998,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-08-21,0.0, 1998,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-09-01,0.0, 1998,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-09-11,0.0, 1998,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-09-21,0.0, 1998,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-10-01,0.0, 1998,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-10-11,0.0, 1998,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-10-21,0.0, 1998,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1998-11-01,0.0, 1998,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
